Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
COHR,12100000000.0,,17.69,,2.16,2.26,13.31,47.22,1.0904,0.26039999999999996,,0.46869999999999995,0.3176,77.84,-0.0132,1092938.0
COIN,67370000000.00001,49.57,33.75,,9.74,6.43,6.52,20.76,-0.4277,0.44439999999999996,,-0.0395,1.4044999999999999,264.51,-0.0274,6591679.0
COO,15740000000.0,38.07,17.79,3.8,4.01,1.94,155.89,40.93,0.0801,0.1104,-0.0345,0.1003,0.08410000000000001,78.73,-0.0072,596409.0
COP,107750000000.0,10.83,12.12,2.21,1.88,1.65,14.89,12.42,-0.1593,0.07519999999999999,0.0406,0.049,0.2854,85.35,-0.0091,2703070.0
COR,56720000000.0,33.96,16.93,2.96,0.18,55.99,26.88,15.87,0.1463,0.0958,0.1329,0.1148,0.1039,292.65,0.0088,459653.0
COST,449760000000.0,59.18,50.82,5.99,1.7,17.59,34.18,64.95,0.0942,0.1008,0.1493,0.09880000000000001,0.10859999999999999,1013.7,-0.0044,655079.0
CP,75060000000.0,24.77,20.58,1.9,6.36,1.56,108.01,41.83,0.1124,0.1492,0.018500000000000003,0.1304,0.1331,80.68,0.0034000000000000002,879683.0
CPNG,49820000000.0,198.42,39.26,1.51,1.6,11.34,8.04,50.16,2.5907,1.4332,,1.3133000000000001,0.39799999999999996,27.44,0.0059,3613690.0
CPRT,52140000000.0,35.57,31.02,2.89,11.36,6.28,11.89,44.14,0.1175,0.11220000000000001,0.17850000000000002,0.1231,0.1603,53.97,-0.11019999999999999,12813474.0
CPT,16000000000.0,103.95,72.8,9.1,10.25,2.83,423.34,37.98,-0.0639,0.1058,-0.07519999999999999,0.1142,0.0867,113.03,-0.012,655418.0
CRBG,17450000000.0,25.28,5.53,2.37,1.11,1.47,,9.05,0.034,0.1506,1.1691,0.10679999999999999,0.1116,31.75,0.0032,1399591.0
